"torneo","home_team","away_team","home_goals","away_goals","resultado"
"Metropolitano 1973 - Fecha 2","Boca Juniors","All Boys",3,1,"Local gana"
"Nacional 1974 - Grupo A","All Boys","Central Norte (S)",1,3,"Visita gana"
"Nacional 1974 - Grupo A","Central Norte (S)","All Boys",1,0,"Local gana"
"Metropolitano 1979 - Grupo B","Chacarita","All Boys",0,0,"Empate"
"Metropolitano 1979 - Grupo B","All Boys","Chacarita",2,1,"Local gana"
"Metropolitano 1978 - Fecha 26","Chacarita","All Boys",1,0,"Local gana"
"Metropolitano 1978 - Fecha 5","All Boys","Chacarita",1,0,"Local gana"
"Metropolitano 1977 - Fecha 37","All Boys","Chacarita",0,0,"Empate"
"Metropolitano 1977 - Fecha 14","Chacarita","All Boys",3,2,"Local gana"
"Metropolitano 1976 - Grupo Descenso","All Boys","Chacarita",1,1,"Empate"
"Metropolitano 1975 - Fecha 26","Chacarita","All Boys",1,0,"Local gana"
"Metropolitano 1975 - Fecha 7","All Boys","Chacarita",3,3,"Empate"
"Metropolitano 1973 - Fecha 31","Chacarita","All Boys",2,3,"Visita gana"
"Metropolitano 1973 - Fecha 14","All Boys","Chacarita",3,4,"Visita gana"
"Nacional 1973 - Grupo A","Chacarita","All Boys",1,1,"Empate"
"Nacional 1975 - Grupo A","Cipolletti","All Boys",4,2,"Local gana"
"Nacional 1975 - Grupo A","All Boys","Cipolletti",3,2,"Local gana"
"Nacional 1973 - Grupo A","Cipolletti","All Boys",4,4,"Empate"
"Torneo Final 2014 - Fecha 11","Colon","All Boys",1,0,"Local gana"
"Torneo Inicial 2013 - Fecha 11","All Boys","Colon",0,0,"Empate"
"Torneo Final 2013 - Fecha 15","Colon","All Boys",2,0,"Local gana"
"Torneo Inicial 2012 - Fecha 15","All Boys","Colon",1,1,"Empate"
"Torneo Clausura 2012 - Fecha 2","All Boys","Colon",2,0,"Local gana"
"Torneo Apertura 2011 - Fecha 2","Colon","All Boys",1,1,"Empate"
